UF,Cod. Municipio,Nome Municipio,Ano,Mês,Admissao,Desligamento,Saldo
Acre,120001,Acrelândia,2007,01,0,0,0
Acre,120001,Acrelândia,2007,02,0,0,0
Acre,120001,Acrelândia,2007,03,0,0,0
Acre,120001,Acrelândia,2007,04,0,0,0
Acre,120001,Acrelândia,2007,05,0,0,0
Acre,120001,Acrelândia,2007,06,0,0,0
Acre,120001,Acrelândia,2007,07,0,0,0
Acre,120001,Acrelândia,2007,08,0,0,0
Acre,120001,Acrelândia,2007,09,0,0,0
Acre,120001,Acrelândia,2007,10,0,0,0
Acre,120001,Acrelândia,2007,11,0,0,0
Acre,120001,Acrelândia,2007,12,0,0,0
Acre,120001,Acrelândia,2008,01,59,6,53
Acre,120001,Acrelândia,2008,02,12,14,-2
Acre,120001,Acrelândia,2008,03,14,12,2
Acre,120001,Acrelândia,2008,04,11,12,-1
Acre,120001,Acrelândia,2008,05,17,9,8
Acre,120001,Acrelândia,2008,06,9,10,-1
Acre,120001,Acrelândia,2008,07,18,15,3
Acre,120001,Acrelândia,2008,08,44,15,29
Acre,120001,Acrelândia,2008,09,16,15,1
Acre,120001,Acrelândia,2008,10,26,18,8
Acre,120001,Acrelândia,2008,11,11,10,1
Acre,120001,Acrelândia,2008,12,8,18,-10
Acre,120001,Acrelândia,2009,01,3,15,-12
Acre,120001,Acrelândia,2009,02,5,8,-3
Acre,120001,Acrelândia,2009,03,16,14,2
Acre,120001,Acrelândia,2009,04,10,20,-10
Acre,120001,Acrelândia,2009,05,25,14,11
Acre,120001,Acrelândia,2009,06,12,10,2
Acre,120001,Acrelândia,2009,07,13,18,-5
Acre,120001,Acrelândia,2009,08,28,9,19
Acre,120001,Acrelândia,2009,09,14,8,6
Acre,120001,Acrelândia,2009,10,13,12,1
Acre,120001,Acrelândia,2009,11,15,10,5
Acre,120001,Acrelândia,2009,12,12,45,-33
Acre,120001,Acrelândia,2010,01,5,13,-8
Acre,120001,Acrelândia,2010,02,15,46,-31
Acre,120001,Acrelândia,2010,03,14,16,-2
Acre,120001,Acrelândia,2010,04,15,13,2
Acre,120001,Acrelândia,2010,05,33,9,24
Acre,120001,Acrelândia,2010,06,18,10,8
Acre,120001,Acrelândia,2010,07,23,13,10
Acre,120001,Acrelândia,2010,08,15,14,1
Acre,120001,Acrelândia,2010,09,11,7,4
Acre,120001,Acrelândia,2010,10,21,12,9
Acre,120001,Acrelândia,2010,11,11,10,1
Acre,120001,Acrelândia,2010,12,8,23,-15
Acre,120001,Acrelândia,2011,01,19,16,3
Acre,120001,Acrelândia,2011,02,9,7,2
Acre,120001,Acrelândia,2011,03,30,24,6
Acre,120001,Acrelândia,2011,04,18,22,-4
Acre,120001,Acrelândia,2011,05,30,18,12
Acre,120001,Acrelândia,2011,06,54,26,28
Acre,120001,Acrelândia,2011,07,18,15,3
Acre,120001,Acrelândia,2011,08,20,24,-4
Acre,120001,Acrelândia,2011,09,16,23,-7
Acre,120001,Acrelândia,2011,10,23,37,-14
Acre,120001,Acrelândia,2011,11,27,38,-11
Acre,120001,Acrelândia,2011,12,6,30,-24
Acre,120001,Acrelândia,2012,01,26,33,-7
Acre,120001,Acrelândia,2012,02,11,28,-17
Acre,120001,Acrelândia,2012,03,24,40,-16
Acre,120001,Acrelândia,2012,04,34,24,10
Acre,120001,Acrelândia,2012,05,32,19,13
Acre,120001,Acrelândia,2012,06,36,26,10
Acre,120001,Acrelândia,2012,07,21,26,-5
Acre,120001,Acrelândia,2012,08,27,27,0
Acre,120001,Acrelândia,2012,09,21,22,-1
Acre,120001,Acrelândia,2012,10,24,18,6
Acre,120001,Acrelândia,2012,11,25,23,2
Acre,120001,Acrelândia,2012,12,10,22,-12
Acre,120001,Acrelândia,2013,01,18,25,-7
Acre,120001,Acrelândia,2013,02,20,27,-7
Acre,120001,Acrelândia,2013,03,18,27,-9
Acre,120001,Acrelândia,2013,04,12,35,-23
Acre,120001,Acrelândia,2013,05,40,28,12
Acre,120001,Acrelândia,2013,06,21,23,-2
Acre,120001,Acrelândia,2013,07,35,20,15
Acre,120001,Acrelândia,2013,08,24,17,7
Acre,120001,Acrelândia,2013,09,8,8,0
Acre,120001,Acrelândia,2013,10,19,19,0
Acre,120001,Acrelândia,2013,11,12,6,6
Acre,120001,Acrelândia,2013,12,4,5,-1
Acre,120001,Acrelândia,2014,01,23,17,6
Acre,120001,Acrelândia,2014,02,19,21,-2
Acre,120001,Acrelândia,2014,03,19,11,8
Acre,120001,Acrelândia,2014,04,15,18,-3
Acre,120001,Acrelândia,2014,05,14,15,-1
Acre,120001,Acrelândia,2014,06,13,10,3
Acre,120001,Acrelândia,2014,07,39,22,17
Acre,120001,Acrelândia,2014,08,43,31,12
Acre,120001,Acrelândia,2014,09,17,17,0
Acre,120001,Acrelândia,2014,10,24,31,-7
Acre,120001,Acrelândia,2014,11,24,22,2
Acre,120001,Acrelândia,2014,12,14,21,-7
Acre,120001,Acrelândia,2015,01,9,10,-1
Acre,120001,Acrelândia,2015,02,16,20,-4
Acre,120001,Acrelândia,2015,03,19,23,-4
Acre,120001,Acrelândia,2015,04,12,24,-12
Acre,120001,Acrelândia,2015,05,7,9,-2
Acre,120001,Acrelândia,2015,06,16,16,0
Acre,120001,Acrelândia,2015,07,33,26,7
Acre,120001,Acrelândia,2015,08,21,16,5
Acre,120001,Acrelândia,2015,09,16,22,-6
Acre,120001,Acrelândia,2015,10,8,10,-2
Acre,120001,Acrelândia,2015,11,14,8,6
Acre,120001,Acrelândia,2015,12,12,9,3
Acre,120001,Acrelândia,2016,01,12,9,3
Acre,120001,Acrelândia,2016,02,13,40,-27
