UF,Cod. Municipio,Nome Municipio,Ano,Mês,Admissao,Desligamento,Saldo
Acre,120001,Acrelândia,2014,01,23,17,6
Acre,120001,Acrelândia,2014,02,19,21,-2
Acre,120001,Acrelândia,2014,03,19,11,8
Acre,120001,Acrelândia,2014,04,17,9,8
Acre,120001,Acrelândia,2014,05,9,10,-1
Acre,120001,Acrelândia,2014,06,13,18,-5
Acre,120001,Acrelândia,2014,07,28,9,19
Acre,120001,Acrelândia,2014,08,14,8,6
Acre,120001,Acrelândia,2014,09,13,12,1
Acre,120001,Acrelândia,2014,10,15,10,5
Acre,120001,Acrelândia,2014,11,12,45,-33
Acre,120001,Acrelândia,2014,12,14,21,-7
